Variable,Value
snp1,chr10:76446305
snp2,chr10:75929517
snp3,chr10:75928933
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,3.3170
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr10_start,73511600
searchrange_chr10_end,77684464
freq_snp1,0.7207
freq_snp2,0.6113
freq_S,0.4513
freq_K1,0.2694
freq_K2,0.1600
freq_O,0.1193
test1a_b_clade_min_p0.5,0.1091
test1a_r2_clade_min_p0.5,0.1399
test1a_b_mut_min_p0.5,0.1109
test1a_r2_mut_min_p0.5,0.1252
test1a_mut_chr_p0.5,10
test1a_mut_pos_p0.5,[76248814]
test1a_b_clade_min_p0.8,0.1559
test1a_r2_clade_min_p0.8,0.1399
test1a_b_mut_min_p0.8,0.1586
test1a_r2_mut_min_p0.8,0.1252
test1a_mut_chr_p0.8,10
test1a_mut_pos_p0.8,[76248814]
test1a_b_clade_min_p0.9,0.1804
test1a_r2_clade_min_p0.9,0.1399
test1a_b_mut_min_p0.9,0.1835
test1a_r2_mut_min_p0.9,0.1252
test1a_mut_chr_p0.9,10
test1a_mut_pos_p0.9,[76248814]
test1a_b_clade_min_p0.95,0.2006
test1a_r2_clade_min_p0.95,0.1399
test1a_b_mut_min_p0.95,0.2040
test1a_r2_mut_min_p0.95,0.1252
test1a_mut_chr_p0.95,10
test1a_mut_pos_p0.95,[76248814]
test1b_b_min,0.0755
test2_overall_min_b,0.1594
