Variable,Value
snp1,chr22:29455490
snp2,chr22:29544983
snp3,chr22:29637644
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,4.9980
interaction_effect_size,0.0800
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,28042153
searchrange_chr22_end,31064447
freq_snp1,0.0199
freq_snp2,0.6660
freq_S,0.0149
freq_K1,0.0050
freq_K2,0.6511
freq_O,0.3290
test1a_b_clade_min_p0.5,0.2812
test1a_r2_clade_min_p0.5,0.0000
test1a_b_mut_min_p0.5,0.2812
test1a_r2_mut_min_p0.5,0.0000
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[28584234, 29042613, 29426079]"
test1a_b_clade_min_p0.8,0.3300
test1a_r2_clade_min_p0.8,0.0000
test1a_b_mut_min_p0.8,0.3300
test1a_r2_mut_min_p0.8,0.0000
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[28584234, 29042613, 29426079]"
test1a_b_clade_min_p0.9,0.3555
test1a_r2_clade_min_p0.9,0.0000
test1a_b_mut_min_p0.9,0.3555
test1a_r2_mut_min_p0.9,0.0000
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[28584234, 29042613, 29426079]"
test1a_b_clade_min_p0.95,0.3766
test1a_r2_clade_min_p0.95,0.0000
test1a_b_mut_min_p0.95,0.3766
test1a_r2_mut_min_p0.95,0.0000
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[28584234, 29042613, 29426079]"
test1b_b_min,0.0088
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,1.2028
