Variable,Value
snp1,chr22:19807634
snp2,chr22:19953129
snp3,chr22:19999623
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.0341
interaction_effect_size,0.0600
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,19595767
searchrange_chr22_end,20285568
freq_snp1,0.0398
freq_snp2,0.0199
freq_S,0.0050
freq_K1,0.0348
freq_K2,0.0149
freq_O,0.9453
test1a_b_clade_min_p0.5,0.1863
test1a_r2_clade_min_p0.5,0.0864
test1a_b_mut_min_p0.5,0.1863
test1a_r2_mut_min_p0.5,0.0864
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[19942560]
test1a_b_clade_min_p0.8,0.2185
test1a_r2_clade_min_p0.8,0.0864
test1a_b_mut_min_p0.8,0.2185
test1a_r2_mut_min_p0.8,0.0864
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[19942560]
test1a_b_clade_min_p0.9,0.2354
test1a_r2_clade_min_p0.9,0.0864
test1a_b_mut_min_p0.9,0.2354
test1a_r2_mut_min_p0.9,0.0864
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[19942560]
test1a_b_clade_min_p0.95,0.2493
test1a_r2_clade_min_p0.95,0.0864
test1a_b_mut_min_p0.95,0.2493
test1a_r2_mut_min_p0.95,0.0864
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[19942560]
test1b_b_min,0.0065
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.7002
