Variable,Value
snp1,chr22:17390017
snp2,chr22:17404695
snp3,chr22:17558250
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.3758
interaction_effect_size,0.0570
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,16724556
searchrange_chr22_end,17695020
freq_snp1,0.0000
freq_snp2,0.1044
freq_S,0.0000
freq_K1,0.0000
freq_K2,0.1044
freq_O,0.8956
test1a_b_clade_min_p0.5,0.0000
test1a_r2_clade_min_p0.5,0.6740
test1a_b_mut_min_p0.5,0.0000
test1a_r2_mut_min_p0.5,0.6068
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[17401020]
test1a_b_clade_min_p0.8,0.0000
test1a_r2_clade_min_p0.8,0.6740
test1a_b_mut_min_p0.8,0.0000
test1a_r2_mut_min_p0.8,0.6068
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[17401020]
test1a_b_clade_min_p0.9,0.0000
test1a_r2_clade_min_p0.9,0.6740
test1a_b_mut_min_p0.9,0.0000
test1a_r2_mut_min_p0.9,0.6068
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[17401020]
test1a_b_clade_min_p0.95,0.0000
test1a_r2_clade_min_p0.95,0.6740
test1a_b_mut_min_p0.95,0.0000
test1a_r2_mut_min_p0.95,0.6068
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[17401020]
test1b_b_min,0.0000
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.0856
