Variable,Value
snp1,chr22:33759490
snp2,chr22:33766203
snp3,chr22:33802134
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1488
interaction_effect_size,0.0770
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33275461
searchrange_chr22_end,34333633
freq_snp1,0.2117
freq_snp2,0.4334
freq_S,0.0994
freq_K1,0.1123
freq_K2,0.3340
freq_O,0.4543
test1a_b_clade_min_p0.5,0.2410
test1a_r2_clade_min_p0.5,0.0868
test1a_b_mut_min_p0.5,0.2671
test1a_r2_mut_min_p0.5,0.0858
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[33767940]
test1a_b_clade_min_p0.8,0.2820
test1a_r2_clade_min_p0.8,0.0868
test1a_b_mut_min_p0.8,0.3125
test1a_r2_mut_min_p0.8,0.0858
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[33767940]
test1a_b_clade_min_p0.9,0.3034
test1a_r2_clade_min_p0.9,0.0868
test1a_b_mut_min_p0.9,0.3362
test1a_r2_mut_min_p0.9,0.0858
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[33767940]
test1a_b_clade_min_p0.95,0.3211
test1a_r2_clade_min_p0.95,0.0868
test1a_b_mut_min_p0.95,0.3559
test1a_r2_mut_min_p0.95,0.0858
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[33767940]
test1b_b_min,0.0097
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4082
