Variable,Value
snp1,chr22:45284165
snp2,chr22:45327753
snp3,chr22:45349276
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1294
interaction_effect_size,0.0706
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,45106912
searchrange_chr22_end,45658338
freq_snp1,0.1223
freq_snp2,0.2903
freq_S,0.0567
freq_K1,0.0656
freq_K2,0.2336
freq_O,0.6441
test1a_b_clade_min_p0.5,0.2868
test1a_r2_clade_min_p0.5,0.0097
test1a_b_mut_min_p0.5,0.3647
test1a_r2_mut_min_p0.5,0.0000
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[45335480]
test1a_b_clade_min_p0.8,0.3350
test1a_r2_clade_min_p0.8,0.0097
test1a_b_mut_min_p0.8,0.4259
test1a_r2_mut_min_p0.8,0.0000
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[45335480]
test1a_b_clade_min_p0.9,0.3602
test1a_r2_clade_min_p0.9,0.0097
test1a_b_mut_min_p0.9,0.4579
test1a_r2_mut_min_p0.9,0.0000
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[45335480]
test1a_b_clade_min_p0.95,0.3809
test1a_r2_clade_min_p0.95,0.0097
test1a_b_mut_min_p0.95,0.4843
test1a_r2_mut_min_p0.95,0.0000
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[45335480]
test1b_b_min,0.0066
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5498
