Variable,Value
snp1,chr22:31636995
snp2,chr22:31664221
snp3,chr22:31836570
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1870
interaction_effect_size,0.0761
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,29904805
searchrange_chr22_end,32857711
freq_snp1,0.1481
freq_snp2,0.6252
freq_S,0.0666
freq_K1,0.0815
freq_K2,0.5586
freq_O,0.2932
test1a_b_clade_min_p0.5,0.2182
test1a_r2_clade_min_p0.5,0.0296
test1a_b_mut_min_p0.5,0.2182
test1a_r2_mut_min_p0.5,0.0296
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[31659603, 31658436, 31622757, 31637459]"
test1a_b_clade_min_p0.8,0.2559
test1a_r2_clade_min_p0.8,0.0296
test1a_b_mut_min_p0.8,0.2559
test1a_r2_mut_min_p0.8,0.0296
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[31659603, 31658436, 31622757, 31637459]"
test1a_b_clade_min_p0.9,0.2756
test1a_r2_clade_min_p0.9,0.0296
test1a_b_mut_min_p0.9,0.2756
test1a_r2_mut_min_p0.9,0.0296
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[31659603, 31658436, 31622757, 31637459]"
test1a_b_clade_min_p0.95,0.2919
test1a_r2_clade_min_p0.95,0.0296
test1a_b_mut_min_p0.95,0.2919
test1a_r2_mut_min_p0.95,0.0296
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[31659603, 31658436, 31622757, 31637459]"
test1b_b_min,0.0143
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4343
