Variable,Value
snp1,chr22:35365262
snp2,chr22:35375805
snp3,chr22:35373104
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,4.8950
interaction_effect_size,0.0829
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,34355490
searchrange_chr22_end,35871240
freq_snp1,0.1233
freq_snp2,0.4960
freq_S,0.0875
freq_K1,0.0358
freq_K2,0.4085
freq_O,0.4682
test1a_b_clade_min_p0.5,0.2369
test1a_r2_clade_min_p0.5,0.6304
test1a_b_mut_min_p0.5,0.3758
test1a_r2_mut_min_p0.5,0.2444
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[35423312]
test1a_b_clade_min_p0.8,0.2781
test1a_r2_clade_min_p0.8,0.6304
test1a_b_mut_min_p0.8,0.4411
test1a_r2_mut_min_p0.8,0.2444
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[35423312]
test1a_b_clade_min_p0.9,0.2996
test1a_r2_clade_min_p0.9,0.6304
test1a_b_mut_min_p0.9,0.4753
test1a_r2_mut_min_p0.9,0.2444
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[35423312]
test1a_b_clade_min_p0.95,0.3174
test1a_r2_clade_min_p0.95,0.6304
test1a_b_mut_min_p0.95,0.5035
test1a_r2_mut_min_p0.95,0.2444
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[35423312]
test1b_b_min,0.0026
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5771
