Variable,Value
snp1,chr22:38048384
snp2,chr22:38103841
snp3,chr22:38163384
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.5265
interaction_effect_size,0.0826
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,37714135
searchrange_chr22_end,39307973
freq_snp1,0.4732
freq_snp2,0.3270
freq_S,0.1600
freq_K1,0.3131
freq_K2,0.1670
freq_O,0.3598
test1a_b_clade_min_p0.5,0.2611
test1a_r2_clade_min_p0.5,0.0339
test1a_b_mut_min_p0.5,0.2850
test1a_r2_mut_min_p0.5,0.0114
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[38304164]
test1a_b_clade_min_p0.8,0.3061
test1a_r2_clade_min_p0.8,0.0339
test1a_b_mut_min_p0.8,0.3341
test1a_r2_mut_min_p0.8,0.0114
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[38304164]
test1a_b_clade_min_p0.9,0.3296
test1a_r2_clade_min_p0.9,0.0339
test1a_b_mut_min_p0.9,0.3598
test1a_r2_mut_min_p0.9,0.0114
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[38304164]
test1a_b_clade_min_p0.95,0.3491
test1a_r2_clade_min_p0.95,0.0339
test1a_b_mut_min_p0.95,0.3810
test1a_r2_mut_min_p0.95,0.0114
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[38304164]
test1b_b_min,0.0344
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3414
