Variable,Value
snp1,chr22:23872364
snp2,chr22:23915631
snp3,chr22:23904191
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.4185
interaction_effect_size,0.0922
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,23396875
searchrange_chr22_end,24425408
freq_snp1,0.6531
freq_snp2,0.1501
freq_S,0.0954
freq_K1,0.5577
freq_K2,0.0547
freq_O,0.2922
test1a_b_clade_min_p0.5,0.3738
test1a_r2_clade_min_p0.5,0.0285
test1a_b_mut_min_p0.5,0.4322
test1a_r2_mut_min_p0.5,0.0361
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[23889968, 23891776]"
test1a_b_clade_min_p0.8,0.4373
test1a_r2_clade_min_p0.8,0.0285
test1a_b_mut_min_p0.8,0.5055
test1a_r2_mut_min_p0.8,0.0361
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[23889968, 23891776]"
test1a_b_clade_min_p0.9,0.4704
test1a_r2_clade_min_p0.9,0.0285
test1a_b_mut_min_p0.9,0.5439
test1a_r2_mut_min_p0.9,0.0361
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[23889968, 23891776]"
test1a_b_clade_min_p0.95,0.4978
test1a_r2_clade_min_p0.95,0.0285
test1a_b_mut_min_p0.95,0.5755
test1a_r2_mut_min_p0.95,0.0361
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[23889968, 23891776]"
test1b_b_min,0.0347
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4943
