Variable,Value
snp1,chr18:74747424
snp2,chr18:74732087
snp3,chr18:74723459
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,1.9600
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr18_start,74337591
searchrange_chr18_end,75030019
freq_snp1,0.4811
freq_snp2,0.4841
freq_S,0.1710
freq_K1,0.3101
freq_K2,0.3131
freq_O,0.2058
test1a_b_clade_min_p0.5,0.1096
test1a_r2_clade_min_p0.5,0.8286
test1a_b_mut_min_p0.5,0.1497
test1a_r2_mut_min_p0.5,0.0293
test1a_mut_chr_p0.5,18
test1a_mut_pos_p0.5,[74732472]
test1a_b_clade_min_p0.8,0.1567
test1a_r2_clade_min_p0.8,0.8286
test1a_b_mut_min_p0.8,0.2140
test1a_r2_mut_min_p0.8,0.0293
test1a_mut_chr_p0.8,18
test1a_mut_pos_p0.8,[74732472]
test1a_b_clade_min_p0.9,0.1813
test1a_r2_clade_min_p0.9,0.8286
test1a_b_mut_min_p0.9,0.2476
test1a_r2_mut_min_p0.9,0.0293
test1a_mut_chr_p0.9,18
test1a_mut_pos_p0.9,[74732472]
test1a_b_clade_min_p0.95,0.2016
test1a_r2_clade_min_p0.95,0.8286
test1a_b_mut_min_p0.95,0.2754
test1a_r2_mut_min_p0.95,0.0293
test1a_mut_chr_p0.95,18
test1a_mut_pos_p0.95,[74732472]
test1b_b_min,0.0000
test2_overall_min_b,0.1227
