Variable,Value
snp1,chr17:80890638
snp2,chr17:80827903
snp3,chr17:80678628
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,6.9825
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr17_start,80044764
searchrange_chr17_end,81138670
freq_snp1,0.5845
freq_snp2,0.5646
freq_S,0.2952
freq_K1,0.2893
freq_K2,0.2694
freq_O,0.1461
test1a_b_clade_min_p0.5,0.0684
test1a_r2_clade_min_p0.5,0.1686
test1a_b_mut_min_p0.5,0.0684
test1a_r2_mut_min_p0.5,0.1686
test1a_mut_chr_p0.5,17
test1a_mut_pos_p0.5,[80893992]
test1a_b_clade_min_p0.8,0.0978
test1a_r2_clade_min_p0.8,0.1686
test1a_b_mut_min_p0.8,0.0978
test1a_r2_mut_min_p0.8,0.1686
test1a_mut_chr_p0.8,17
test1a_mut_pos_p0.8,[80893992]
test1a_b_clade_min_p0.9,0.1132
test1a_r2_clade_min_p0.9,0.1686
test1a_b_mut_min_p0.9,0.1132
test1a_r2_mut_min_p0.9,0.1686
test1a_mut_chr_p0.9,17
test1a_mut_pos_p0.9,[80893992]
test1a_b_clade_min_p0.95,0.1259
test1a_r2_clade_min_p0.95,0.1686
test1a_b_mut_min_p0.95,0.1259
test1a_r2_mut_min_p0.95,0.1686
test1a_mut_chr_p0.95,17
test1a_mut_pos_p0.95,[80893992]
test1b_b_min,0.1754
test2_overall_min_b,0.1220
