Variable,Value
snp1,chr22:37764235
snp2,chr22:37815198
snp3,chr22:37814981
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1515
interaction_effect_size,0.0590
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,37519366
searchrange_chr22_end,38654655
freq_snp1,0.2177
freq_snp2,0.1869
freq_S,0.0209
freq_K1,0.1968
freq_K2,0.1660
freq_O,0.6163
test1a_b_clade_min_p0.5,0.2640
test1a_r2_clade_min_p0.5,0.0022
test1a_b_mut_min_p0.5,0.3269
test1a_r2_mut_min_p0.5,0.0012
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[37750320]
test1a_b_clade_min_p0.8,0.3090
test1a_r2_clade_min_p0.8,0.0022
test1a_b_mut_min_p0.8,0.3826
test1a_r2_mut_min_p0.8,0.0012
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[37750320]
test1a_b_clade_min_p0.9,0.3325
test1a_r2_clade_min_p0.9,0.0022
test1a_b_mut_min_p0.9,0.4117
test1a_r2_mut_min_p0.9,0.0012
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[37750320]
test1a_b_clade_min_p0.95,0.3520
test1a_r2_clade_min_p0.95,0.0022
test1a_b_mut_min_p0.95,0.4358
test1a_r2_mut_min_p0.95,0.0012
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[37750320]
test1b_b_min,0.0114
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.6628
