Variable,Value
snp1,chr22:40742069
snp2,chr22:41098832
snp3,chr22:40933293
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,4.9467
interaction_effect_size,0.0668
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,39759249
searchrange_chr22_end,43469051
freq_snp1,0.0318
freq_snp2,0.3042
freq_S,0.0139
freq_K1,0.0179
freq_K2,0.2903
freq_O,0.6779
test1a_b_clade_min_p0.5,0.2061
test1a_r2_clade_min_p0.5,0.0003
test1a_b_mut_min_p0.5,0.2735
test1a_r2_mut_min_p0.5,0.0001
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[41778498, 41625958, 41830983, 41560103, 42192809, 41384298, 42196488, 42202795, 41476205, 40933293, 42005294, 42037231, 40770899, 40932307, 41673590]"
test1a_b_clade_min_p0.8,0.2419
test1a_r2_clade_min_p0.8,0.0003
test1a_b_mut_min_p0.8,0.3210
test1a_r2_mut_min_p0.8,0.0001
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[41778498, 41625958, 41830983, 41560103, 42192809, 41384298, 42196488, 42202795, 41476205, 40933293, 42005294, 42037231, 40770899, 40932307, 41673590]"
test1a_b_clade_min_p0.9,0.2607
test1a_r2_clade_min_p0.9,0.0003
test1a_b_mut_min_p0.9,0.3459
test1a_r2_mut_min_p0.9,0.0001
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[41778498, 41625958, 41830983, 41560103, 42192809, 41384298, 42196488, 42202795, 41476205, 40933293, 42005294, 42037231, 40770899, 40932307, 41673590]"
test1a_b_clade_min_p0.95,0.2761
test1a_r2_clade_min_p0.95,0.0003
test1a_b_mut_min_p0.95,0.3664
test1a_r2_mut_min_p0.95,0.0001
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[41778498, 41625958, 41830983, 41560103, 42192809, 41384298, 42196488, 42202795, 41476205, 40933293, 42005294, 42037231, 40770899, 40932307, 41673590]"
test1b_b_min,0.0044
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.8694
