Variable,Value
snp1,chr22:17935099
snp2,chr22:18059171
snp3,chr22:18014713
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.9114
interaction_effect_size,0.0643
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,17739268
searchrange_chr22_end,18536635
freq_snp1,0.1352
freq_snp2,0.0805
freq_S,0.0070
freq_K1,0.1282
freq_K2,0.0736
freq_O,0.7913
test1a_b_clade_min_p0.5,0.2547
test1a_r2_clade_min_p0.5,0.4269
test1a_b_mut_min_p0.5,0.2993
test1a_r2_mut_min_p0.5,0.3190
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[17901108]
test1a_b_clade_min_p0.8,0.2982
test1a_r2_clade_min_p0.8,0.4269
test1a_b_mut_min_p0.8,0.3505
test1a_r2_mut_min_p0.8,0.3190
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[17901108]
test1a_b_clade_min_p0.9,0.3210
test1a_r2_clade_min_p0.9,0.4269
test1a_b_mut_min_p0.9,0.3773
test1a_r2_mut_min_p0.9,0.3190
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[17901108]
test1a_b_clade_min_p0.95,0.3398
test1a_r2_clade_min_p0.95,0.4269
test1a_b_mut_min_p0.95,0.3994
test1a_r2_mut_min_p0.95,0.3190
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[17901108]
test1b_b_min,0.0513
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.9704
