Variable,Value
snp1,chr22:33514767
snp2,chr22:33708518
snp3,chr22:33658834
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.0070
interaction_effect_size,0.0617
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,32951103
searchrange_chr22_end,34221476
freq_snp1,0.2555
freq_snp2,0.0288
freq_S,0.0149
freq_K1,0.2406
freq_K2,0.0139
freq_O,0.7306
test1a_b_clade_min_p0.5,0.2928
test1a_r2_clade_min_p0.5,0.0217
test1a_b_mut_min_p0.5,0.2928
test1a_r2_mut_min_p0.5,0.0217
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[33699744]
test1a_b_clade_min_p0.8,0.3424
test1a_r2_clade_min_p0.8,0.0217
test1a_b_mut_min_p0.8,0.3424
test1a_r2_mut_min_p0.8,0.0217
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[33699744]
test1a_b_clade_min_p0.9,0.3683
test1a_r2_clade_min_p0.9,0.0217
test1a_b_mut_min_p0.9,0.3683
test1a_r2_mut_min_p0.9,0.0217
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[33699744]
test1a_b_clade_min_p0.95,0.3897
test1a_r2_clade_min_p0.95,0.0217
test1a_b_mut_min_p0.95,0.3897
test1a_r2_mut_min_p0.95,0.0217
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[33699744]
test1b_b_min,0.0023
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.8633
