Variable,Value
snp1,chr22:49452602
snp2,chr22:49526054
snp3,chr22:49586095
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.9433
interaction_effect_size,0.0639
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,49252905
searchrange_chr22_end,49686513
freq_snp1,0.0537
freq_snp2,0.1431
freq_S,0.0030
freq_K1,0.0507
freq_K2,0.1402
freq_O,0.8062
test1a_b_clade_min_p0.5,0.1664
test1a_r2_clade_min_p0.5,1.0000
test1a_b_mut_min_p0.5,0.2901
test1a_r2_mut_min_p0.5,0.3313
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[49586095]
test1a_b_clade_min_p0.8,0.1940
test1a_r2_clade_min_p0.8,1.0000
test1a_b_mut_min_p0.8,0.3382
test1a_r2_mut_min_p0.8,0.3313
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[49586095]
test1a_b_clade_min_p0.9,0.2084
test1a_r2_clade_min_p0.9,1.0000
test1a_b_mut_min_p0.9,0.3633
test1a_r2_mut_min_p0.9,0.3313
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[49586095]
test1a_b_clade_min_p0.95,0.2204
test1a_r2_clade_min_p0.95,1.0000
test1a_b_mut_min_p0.95,0.3841
test1a_r2_mut_min_p0.95,0.3313
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[49586095]
test1b_b_min,0.0285
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,1.3505
