Variable,Value
snp1,chr11:88117962
snp2,chr11:88077479
snp3,chr11:88015717
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,4.5648
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr11_start,87428004
searchrange_chr11_end,90376914
freq_snp1,0.2296
freq_snp2,0.5149
freq_S,0.0915
freq_K1,0.1382
freq_K2,0.4235
freq_O,0.3469
test1a_b_clade_min_p0.5,0.0814
test1a_r2_clade_min_p0.5,0.0980
test1a_b_mut_min_p0.5,0.0832
test1a_r2_mut_min_p0.5,0.0841
test1a_mut_chr_p0.5,11
test1a_mut_pos_p0.5,[88070563]
test1a_b_clade_min_p0.8,0.1163
test1a_r2_clade_min_p0.8,0.0980
test1a_b_mut_min_p0.8,0.1189
test1a_r2_mut_min_p0.8,0.0841
test1a_mut_chr_p0.8,11
test1a_mut_pos_p0.8,[88070563]
test1a_b_clade_min_p0.9,0.1346
test1a_r2_clade_min_p0.9,0.0980
test1a_b_mut_min_p0.9,0.1376
test1a_r2_mut_min_p0.9,0.0841
test1a_mut_chr_p0.9,11
test1a_mut_pos_p0.9,[88070563]
test1a_b_clade_min_p0.95,0.1497
test1a_r2_clade_min_p0.95,0.0980
test1a_b_mut_min_p0.95,0.1530
test1a_r2_mut_min_p0.95,0.0841
test1a_mut_chr_p0.95,11
test1a_mut_pos_p0.95,[88070563]
test1b_b_min,0.1082
test2_overall_min_b,0.1502
