Variable,Value
snp1,chr19:36268923
snp2,chr19:36147315
snp3,chr19:36234489
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,4.6778
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr19_start,35716915
searchrange_chr19_end,37574134
freq_snp1,0.3698
freq_snp2,0.7515
freq_S,0.2873
freq_K1,0.0825
freq_K2,0.4642
freq_O,0.1660
test1a_b_clade_min_p0.5,0.1051
test1a_r2_clade_min_p0.5,0.1412
test1a_b_mut_min_p0.5,0.1154
test1a_r2_mut_min_p0.5,0.0126
test1a_mut_chr_p0.5,19
test1a_mut_pos_p0.5,[36280047]
test1a_b_clade_min_p0.8,0.1503
test1a_r2_clade_min_p0.8,0.1412
test1a_b_mut_min_p0.8,0.1650
test1a_r2_mut_min_p0.8,0.0126
test1a_mut_chr_p0.8,19
test1a_mut_pos_p0.8,[36280047]
test1a_b_clade_min_p0.9,0.1738
test1a_r2_clade_min_p0.9,0.1412
test1a_b_mut_min_p0.9,0.1909
test1a_r2_mut_min_p0.9,0.0126
test1a_mut_chr_p0.9,19
test1a_mut_pos_p0.9,[36280047]
test1a_b_clade_min_p0.95,0.1933
test1a_r2_clade_min_p0.95,0.1412
test1a_b_mut_min_p0.95,0.2123
test1a_r2_mut_min_p0.95,0.0126
test1a_mut_chr_p0.95,19
test1a_mut_pos_p0.95,[36280047]
test1b_b_min,0.1458
test2_overall_min_b,0.1586
