Variable,Value
snp1,chr1:203877662
snp2,chr1:203780591
snp3,chr1:203747772
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,3.7750
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr1_start,203368964
searchrange_chr1_end,204357022
freq_snp1,0.3569
freq_snp2,0.7425
freq_S,0.2326
freq_K1,0.1243
freq_K2,0.5099
freq_O,0.1332
test1a_b_clade_min_p0.5,0.0769
test1a_r2_clade_min_p0.5,0.5748
test1a_b_mut_min_p0.5,0.0769
test1a_r2_mut_min_p0.5,0.5748
test1a_mut_chr_p0.5,1
test1a_mut_pos_p0.5,[203805538]
test1a_b_clade_min_p0.8,0.1099
test1a_r2_clade_min_p0.8,0.5748
test1a_b_mut_min_p0.8,0.1099
test1a_r2_mut_min_p0.8,0.5748
test1a_mut_chr_p0.8,1
test1a_mut_pos_p0.8,[203805538]
test1a_b_clade_min_p0.9,0.1272
test1a_r2_clade_min_p0.9,0.5748
test1a_b_mut_min_p0.9,0.1272
test1a_r2_mut_min_p0.9,0.5748
test1a_mut_chr_p0.9,1
test1a_mut_pos_p0.9,[203805538]
test1a_b_clade_min_p0.95,0.1415
test1a_r2_clade_min_p0.95,0.5748
test1a_b_mut_min_p0.95,0.1415
test1a_r2_mut_min_p0.95,0.5748
test1a_mut_chr_p0.95,1
test1a_mut_pos_p0.95,[203805538]
test1b_b_min,0.0712
test2_overall_min_b,0.1468
