Variable,Value
snp1,chr22:32817776
snp2,chr22:37320687
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.5210
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,31272638
searchrange_chr22_end,37570259
freq_snp1,0.5119
freq_snp2,0.4602
freq_S,0.2416
freq_K1,0.2704
freq_K2,0.2187
freq_O,0.2694
test1a_b_clade_min_p0.5,1.1506
test1a_r2_clade_min_p0.5,0.0020
test1a_b_mut_min_p0.5,1.3759
test1a_r2_mut_min_p0.5,0.0017
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[37554246]
test1a_b_clade_min_p0.8,1.3486
test1a_r2_clade_min_p0.8,0.0020
test1a_b_mut_min_p0.8,1.6127
test1a_r2_mut_min_p0.8,0.0017
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[37554246]
test1a_b_clade_min_p0.9,1.4520
test1a_r2_clade_min_p0.9,0.0020
test1a_b_mut_min_p0.9,1.7364
test1a_r2_mut_min_p0.9,0.0017
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[37554246]
test1a_b_clade_min_p0.95,1.5375
test1a_r2_clade_min_p0.95,0.0020
test1a_b_mut_min_p0.95,1.8386
test1a_r2_mut_min_p0.95,0.0017
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[37554246]
test1b_b_min,0.1480
test2_overall_min_b,0.3635
