Variable,Value
snp1,chr22:18407222
snp2,chr22:22991290
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,9.5239
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,17987405
searchrange_chr22_end,23226907
freq_snp1,0.2306
freq_snp2,0.1948
freq_S,0.0427
freq_K1,0.1879
freq_K2,0.1521
freq_O,0.6173
test1a_b_clade_min_p0.5,0.7327
test1a_r2_clade_min_p0.5,0.0670
test1a_b_mut_min_p0.5,0.8978
test1a_r2_mut_min_p0.5,0.0446
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[20893049, 23140090, 21262594, 18889691]"
test1a_b_clade_min_p0.8,0.8588
test1a_r2_clade_min_p0.8,0.0670
test1a_b_mut_min_p0.8,1.0523
test1a_r2_mut_min_p0.8,0.0446
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[20893049, 23140090, 21262594, 18889691]"
test1a_b_clade_min_p0.9,0.9247
test1a_r2_clade_min_p0.9,0.0670
test1a_b_mut_min_p0.9,1.1330
test1a_r2_mut_min_p0.9,0.0446
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[20893049, 23140090, 21262594, 18889691]"
test1a_b_clade_min_p0.95,0.9791
test1a_r2_clade_min_p0.95,0.0670
test1a_b_mut_min_p0.95,1.1997
test1a_r2_mut_min_p0.95,0.0446
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[20893049, 23140090, 21262594, 18889691]"
test1b_b_min,0.6938
test2_overall_min_b,0.5888
