Variable,Value
snp1,chr22:19702569
snp2,chr22:24205036
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.5359
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,19141389
searchrange_chr22_end,25238271
freq_snp1,0.5089
freq_snp2,0.4682
freq_S,0.2366
freq_K1,0.2724
freq_K2,0.2316
freq_O,0.2594
test1a_b_clade_min_p0.5,1.2095
test1a_r2_clade_min_p0.5,0.0061
test1a_b_mut_min_p0.5,1.2254
test1a_r2_mut_min_p0.5,0.0076
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[20210347]
test1a_b_clade_min_p0.8,1.4176
test1a_r2_clade_min_p0.8,0.0061
test1a_b_mut_min_p0.8,1.4362
test1a_r2_mut_min_p0.8,0.0076
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[20210347]
test1a_b_clade_min_p0.9,1.5263
test1a_r2_clade_min_p0.9,0.0061
test1a_b_mut_min_p0.9,1.5464
test1a_r2_mut_min_p0.9,0.0076
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[20210347]
test1a_b_clade_min_p0.95,1.6162
test1a_r2_clade_min_p0.95,0.0061
test1a_b_mut_min_p0.95,1.6374
test1a_r2_mut_min_p0.95,0.0076
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[20210347]
test1b_b_min,0.1593
test2_overall_min_b,0.3595
