Variable,Value
snp1,chr22:23538760
snp2,chr22:23629234
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.0000
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,23145071
searchrange_chr22_end,23879903
freq_snp1,0.1193
freq_snp2,0.0795
freq_S,0.0199
freq_K1,0.0994
freq_K2,0.0596
freq_O,0.8211
test1a_b_clade_min_p0.5,0.2105
test1a_r2_clade_min_p0.5,0.0883
test1a_b_mut_min_p0.5,0.2166
test1a_r2_mut_min_p0.5,0.0931
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[23543390]
test1a_b_clade_min_p0.8,0.2467
test1a_r2_clade_min_p0.8,0.0883
test1a_b_mut_min_p0.8,0.2539
test1a_r2_mut_min_p0.8,0.0931
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[23543390]
test1a_b_clade_min_p0.9,0.2656
test1a_r2_clade_min_p0.9,0.0883
test1a_b_mut_min_p0.9,0.2734
test1a_r2_mut_min_p0.9,0.0931
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[23543390]
test1a_b_clade_min_p0.95,0.2812
test1a_r2_clade_min_p0.95,0.0883
test1a_b_mut_min_p0.95,0.2895
test1a_r2_mut_min_p0.95,0.0931
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[23543390]
test1b_b_min,0.1337
test2_overall_min_b,0.6080
