Variable,Value
snp1,chr22:41405708
snp2,chr22:45962882
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.1943
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,39774137
searchrange_chr22_end,46515533
freq_snp1,0.4811
freq_snp2,0.4871
freq_S,0.2336
freq_K1,0.2475
freq_K2,0.2535
freq_O,0.2654
test1a_b_clade_min_p0.5,1.1351
test1a_r2_clade_min_p0.5,0.0068
test1a_b_mut_min_p0.5,1.1415
test1a_r2_mut_min_p0.5,0.0071
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[42868739]
test1a_b_clade_min_p0.8,1.3304
test1a_r2_clade_min_p0.8,0.0068
test1a_b_mut_min_p0.8,1.3379
test1a_r2_mut_min_p0.8,0.0071
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[42868739]
test1a_b_clade_min_p0.9,1.4325
test1a_r2_clade_min_p0.9,0.0068
test1a_b_mut_min_p0.9,1.4406
test1a_r2_mut_min_p0.9,0.0071
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[42868739]
test1a_b_clade_min_p0.95,1.5168
test1a_r2_clade_min_p0.95,0.0068
test1a_b_mut_min_p0.95,1.5254
test1a_r2_mut_min_p0.95,0.0071
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[42868739]
test1b_b_min,0.3023
test2_overall_min_b,0.3559
