Variable,Value
snp1,chr22:33975073
snp2,chr22:34075530
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.2827
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33557033
searchrange_chr22_end,34860661
freq_snp1,0.4901
freq_snp2,0.5179
freq_S,0.2883
freq_K1,0.2018
freq_K2,0.2296
freq_O,0.2803
test1a_b_clade_min_p0.5,0.4490
test1a_r2_clade_min_p0.5,0.0548
test1a_b_mut_min_p0.5,0.5328
test1a_r2_mut_min_p0.5,0.0020
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[34067461]
test1a_b_clade_min_p0.8,0.5263
test1a_r2_clade_min_p0.8,0.0548
test1a_b_mut_min_p0.8,0.6244
test1a_r2_mut_min_p0.8,0.0020
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[34067461]
test1a_b_clade_min_p0.9,0.5667
test1a_r2_clade_min_p0.9,0.0548
test1a_b_mut_min_p0.9,0.6724
test1a_r2_mut_min_p0.9,0.0020
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[34067461]
test1a_b_clade_min_p0.95,0.6000
test1a_r2_clade_min_p0.95,0.0548
test1a_b_mut_min_p0.95,0.7119
test1a_r2_mut_min_p0.95,0.0020
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[34067461]
test1b_b_min,0.1277
test2_overall_min_b,0.3737
