Variable,Value
snp1,chr22:34362683
snp2,chr22:34907372
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,11.6631
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33842925
searchrange_chr22_end,35833496
freq_snp1,0.0775
freq_snp2,0.1103
freq_S,0.0119
freq_K1,0.0656
freq_K2,0.0984
freq_O,0.8241
test1a_b_clade_min_p0.5,0.2311
test1a_r2_clade_min_p0.5,0.0005
test1a_b_mut_min_p0.5,0.2311
test1a_r2_mut_min_p0.5,0.0005
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[34780673]
test1a_b_clade_min_p0.8,0.2708
test1a_r2_clade_min_p0.8,0.0005
test1a_b_mut_min_p0.8,0.2708
test1a_r2_mut_min_p0.8,0.0005
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[34780673]
test1a_b_clade_min_p0.9,0.2916
test1a_r2_clade_min_p0.9,0.0005
test1a_b_mut_min_p0.9,0.2916
test1a_r2_mut_min_p0.9,0.0005
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[34780673]
test1a_b_clade_min_p0.95,0.3088
test1a_r2_clade_min_p0.95,0.0005
test1a_b_mut_min_p0.95,0.3088
test1a_r2_mut_min_p0.95,0.0005
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[34780673]
test1b_b_min,0.3199
test2_overall_min_b,0.7415
