Variable,Value
snp1,chr22:22789895
snp2,chr22:22883691
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,9.6977
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,22436348
searchrange_chr22_end,23155894
freq_snp1,0.2684
freq_snp2,0.2207
freq_S,0.0249
freq_K1,0.2435
freq_K2,0.1958
freq_O,0.5358
test1a_b_clade_min_p0.5,0.4348
test1a_r2_clade_min_p0.5,0.0046
test1a_b_mut_min_p0.5,0.5429
test1a_r2_mut_min_p0.5,0.1020
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[23134347, 23046732, 23060046]"
test1a_b_clade_min_p0.8,0.5096
test1a_r2_clade_min_p0.8,0.0046
test1a_b_mut_min_p0.8,0.6363
test1a_r2_mut_min_p0.8,0.1020
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[23134347, 23046732, 23060046]"
test1a_b_clade_min_p0.9,0.5487
test1a_r2_clade_min_p0.9,0.0046
test1a_b_mut_min_p0.9,0.6851
test1a_r2_mut_min_p0.9,0.1020
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[23134347, 23046732, 23060046]"
test1a_b_clade_min_p0.95,0.5810
test1a_r2_clade_min_p0.95,0.0046
test1a_b_mut_min_p0.95,0.7254
test1a_r2_mut_min_p0.95,0.1020
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[23134347, 23046732, 23060046]"
test1b_b_min,0.4272
test2_overall_min_b,0.6961
