Variable,Value
snp1,chr22:21357170
snp2,chr22:21447663
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.1937
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,20956303
searchrange_chr22_end,22352892
freq_snp1,0.1262
freq_snp2,0.0726
freq_S,0.0209
freq_K1,0.1054
freq_K2,0.0517
freq_O,0.8221
test1a_b_clade_min_p0.5,0.3101
test1a_r2_clade_min_p0.5,0.0511
test1a_b_mut_min_p0.5,0.3397
test1a_r2_mut_min_p0.5,0.0324
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[21449869]
test1a_b_clade_min_p0.8,0.3634
test1a_r2_clade_min_p0.8,0.0511
test1a_b_mut_min_p0.8,0.3982
test1a_r2_mut_min_p0.8,0.0324
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[21449869]
test1a_b_clade_min_p0.9,0.3913
test1a_r2_clade_min_p0.9,0.0511
test1a_b_mut_min_p0.9,0.4288
test1a_r2_mut_min_p0.9,0.0324
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[21449869]
test1a_b_clade_min_p0.95,0.4143
test1a_r2_clade_min_p0.95,0.0511
test1a_b_mut_min_p0.95,0.4540
test1a_r2_mut_min_p0.95,0.0324
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[21449869]
test1b_b_min,0.1459
test2_overall_min_b,0.5995
