Variable,Value
snp1,chr22:37388460
snp2,chr22:37478604
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.1789
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,37150636
searchrange_chr22_end,37716976
freq_snp1,0.1133
freq_snp2,0.0815
freq_S,0.0398
freq_K1,0.0736
freq_K2,0.0417
freq_O,0.8449
test1a_b_clade_min_p0.5,0.3526
test1a_r2_clade_min_p0.5,0.4893
test1a_b_mut_min_p0.5,0.3998
test1a_r2_mut_min_p0.5,0.0012
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[37418956]
test1a_b_clade_min_p0.8,0.4133
test1a_r2_clade_min_p0.8,0.4893
test1a_b_mut_min_p0.8,0.4686
test1a_r2_mut_min_p0.8,0.0012
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[37418956]
test1a_b_clade_min_p0.9,0.4450
test1a_r2_clade_min_p0.9,0.4893
test1a_b_mut_min_p0.9,0.5045
test1a_r2_mut_min_p0.9,0.0012
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[37418956]
test1a_b_clade_min_p0.95,0.4712
test1a_r2_clade_min_p0.95,0.4893
test1a_b_mut_min_p0.95,0.5342
test1a_r2_mut_min_p0.95,0.0012
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[37418956]
test1b_b_min,0.2370
test2_overall_min_b,0.4836
