Variable,Value
snp1,chr22:33970004
snp2,chr22:34488034
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.9930
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33546027
searchrange_chr22_end,35471608
freq_snp1,0.4901
freq_snp2,0.5239
freq_S,0.2505
freq_K1,0.2396
freq_K2,0.2734
freq_O,0.2366
test1a_b_clade_min_p0.5,0.9953
test1a_r2_clade_min_p0.5,0.0738
test1a_b_mut_min_p0.5,1.0714
test1a_r2_mut_min_p0.5,0.0765
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[34021745]
test1a_b_clade_min_p0.8,1.1665
test1a_r2_clade_min_p0.8,0.0738
test1a_b_mut_min_p0.8,1.2558
test1a_r2_mut_min_p0.8,0.0765
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[34021745]
test1a_b_clade_min_p0.9,1.2560
test1a_r2_clade_min_p0.9,0.0738
test1a_b_mut_min_p0.9,1.3522
test1a_r2_mut_min_p0.9,0.0765
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[34021745]
test1a_b_clade_min_p0.95,1.3300
test1a_r2_clade_min_p0.95,0.0738
test1a_b_mut_min_p0.95,1.4317
test1a_r2_mut_min_p0.95,0.0765
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[34021745]
test1b_b_min,0.2241
test2_overall_min_b,0.3618
