Variable,Value
snp1,chr22:44406539
snp2,chr22:44864940
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.1360
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,43666513
searchrange_chr22_end,45127401
freq_snp1,0.2207
freq_snp2,0.2515
freq_S,0.0457
freq_K1,0.1750
freq_K2,0.2058
freq_O,0.5736
test1a_b_clade_min_p0.5,0.7154
test1a_r2_clade_min_p0.5,0.0028
test1a_b_mut_min_p0.5,0.7543
test1a_r2_mut_min_p0.5,0.0040
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[44127153, 43919606]"
test1a_b_clade_min_p0.8,0.8385
test1a_r2_clade_min_p0.8,0.0028
test1a_b_mut_min_p0.8,0.8841
test1a_r2_mut_min_p0.8,0.0040
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[44127153, 43919606]"
test1a_b_clade_min_p0.9,0.9028
test1a_r2_clade_min_p0.9,0.0028
test1a_b_mut_min_p0.9,0.9520
test1a_r2_mut_min_p0.9,0.0040
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[44127153, 43919606]"
test1a_b_clade_min_p0.95,0.9560
test1a_r2_clade_min_p0.95,0.0028
test1a_b_mut_min_p0.95,1.0080
test1a_r2_mut_min_p0.95,0.0040
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[44127153, 43919606]"
test1b_b_min,0.1820
test2_overall_min_b,0.5705
