Variable,Value
snp1,chr22:49308680
snp2,chr22:49808019
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.1070
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,49091513
searchrange_chr22_end,50110532
freq_snp1,0.4861
freq_snp2,0.4960
freq_S,0.2416
freq_K1,0.2445
freq_K2,0.2545
freq_O,0.2594
test1a_b_clade_min_p0.5,1.2259
test1a_r2_clade_min_p0.5,0.0004
test1a_b_mut_min_p0.5,1.2259
test1a_r2_mut_min_p0.5,0.0004
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[49799979]
test1a_b_clade_min_p0.8,1.4368
test1a_r2_clade_min_p0.8,0.0004
test1a_b_mut_min_p0.8,1.4368
test1a_r2_mut_min_p0.8,0.0004
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[49799979]
test1a_b_clade_min_p0.9,1.5470
test1a_r2_clade_min_p0.9,0.0004
test1a_b_mut_min_p0.9,1.5470
test1a_r2_mut_min_p0.9,0.0004
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[49799979]
test1a_b_clade_min_p0.95,1.6381
test1a_r2_clade_min_p0.95,0.0004
test1a_b_mut_min_p0.95,1.6381
test1a_r2_mut_min_p0.95,0.0004
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[49799979]
test1b_b_min,0.5552
test2_overall_min_b,0.3589
