Variable,Value
snp1,chr22:36098851
snp2,chr22:36556931
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.9063
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,35844654
searchrange_chr22_end,36942808
freq_snp1,0.2038
freq_snp2,0.2525
freq_S,0.0626
freq_K1,0.1412
freq_K2,0.1899
freq_O,0.6064
test1a_b_clade_min_p0.5,0.5414
test1a_r2_clade_min_p0.5,0.0040
test1a_b_mut_min_p0.5,0.5908
test1a_r2_mut_min_p0.5,0.0019
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[36305322, 36629187]"
test1a_b_clade_min_p0.8,0.6346
test1a_r2_clade_min_p0.8,0.0040
test1a_b_mut_min_p0.8,0.6925
test1a_r2_mut_min_p0.8,0.0019
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[36305322, 36629187]"
test1a_b_clade_min_p0.9,0.6833
test1a_r2_clade_min_p0.9,0.0040
test1a_b_mut_min_p0.9,0.7456
test1a_r2_mut_min_p0.9,0.0019
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[36305322, 36629187]"
test1a_b_clade_min_p0.95,0.7235
test1a_r2_clade_min_p0.95,0.0040
test1a_b_mut_min_p0.95,0.7895
test1a_r2_mut_min_p0.95,0.0019
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[36305322, 36629187]"
test1b_b_min,0.3337
test2_overall_min_b,0.5443
