Variable,Value
snp1,chr22:20889956
snp2,chr22:21344339
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.4852
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,20494697
searchrange_chr22_end,21860961
freq_snp1,0.2276
freq_snp2,0.2396
freq_S,0.0586
freq_K1,0.1690
freq_K2,0.1809
freq_O,0.5915
test1a_b_clade_min_p0.5,0.5553
test1a_r2_clade_min_p0.5,0.0016
test1a_b_mut_min_p0.5,0.7035
test1a_r2_mut_min_p0.5,0.0010
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[20851009]
test1a_b_clade_min_p0.8,0.6509
test1a_r2_clade_min_p0.8,0.0016
test1a_b_mut_min_p0.8,0.8245
test1a_r2_mut_min_p0.8,0.0010
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[20851009]
test1a_b_clade_min_p0.9,0.7008
test1a_r2_clade_min_p0.9,0.0016
test1a_b_mut_min_p0.9,0.8878
test1a_r2_mut_min_p0.9,0.0010
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[20851009]
test1a_b_clade_min_p0.95,0.7421
test1a_r2_clade_min_p0.95,0.0016
test1a_b_mut_min_p0.95,0.9401
test1a_r2_mut_min_p0.95,0.0010
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[20851009]
test1b_b_min,0.2944
test2_overall_min_b,0.5246
