Variable,Value
snp1,chr22:49123669
snp2,chr22:49225496
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.7231
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,48983689
searchrange_chr22_end,49395854
freq_snp1,0.2336
freq_snp2,0.1978
freq_S,0.0567
freq_K1,0.1769
freq_K2,0.1412
freq_O,0.6252
test1a_b_clade_min_p0.5,0.4529
test1a_r2_clade_min_p0.5,0.0197
test1a_b_mut_min_p0.5,0.6383
test1a_r2_mut_min_p0.5,0.0010
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[49054467]
test1a_b_clade_min_p0.8,0.5309
test1a_r2_clade_min_p0.8,0.0197
test1a_b_mut_min_p0.8,0.7482
test1a_r2_mut_min_p0.8,0.0010
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[49054467]
test1a_b_clade_min_p0.9,0.5716
test1a_r2_clade_min_p0.9,0.0197
test1a_b_mut_min_p0.9,0.8056
test1a_r2_mut_min_p0.9,0.0010
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[49054467]
test1a_b_clade_min_p0.95,0.6052
test1a_r2_clade_min_p0.95,0.0197
test1a_b_mut_min_p0.95,0.8530
test1a_r2_mut_min_p0.95,0.0010
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[49054467]
test1b_b_min,0.2622
test2_overall_min_b,0.5129
