Variable,Value
snp1,chr22:44270841
snp2,chr22:44746799
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.4686
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,43542082
searchrange_chr22_end,45013714
freq_snp1,0.3300
freq_snp2,0.3280
freq_S,0.1143
freq_K1,0.2157
freq_K2,0.2137
freq_O,0.4563
test1a_b_clade_min_p0.5,1.0159
test1a_r2_clade_min_p0.5,0.0027
test1a_b_mut_min_p0.5,1.1365
test1a_r2_mut_min_p0.5,0.0027
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[43667146]
test1a_b_clade_min_p0.8,1.1906
test1a_r2_clade_min_p0.8,0.0027
test1a_b_mut_min_p0.8,1.3320
test1a_r2_mut_min_p0.8,0.0027
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[43667146]
test1a_b_clade_min_p0.9,1.2820
test1a_r2_clade_min_p0.9,0.0027
test1a_b_mut_min_p0.9,1.4342
test1a_r2_mut_min_p0.9,0.0027
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[43667146]
test1a_b_clade_min_p0.95,1.3574
test1a_r2_clade_min_p0.95,0.0027
test1a_b_mut_min_p0.95,1.5186
test1a_r2_mut_min_p0.95,0.0027
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[43667146]
test1b_b_min,0.3275
test2_overall_min_b,0.4416
