Variable,Value
snp1,chr22:35605485
snp2,chr22:40150961
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.9011
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,34555512
searchrange_chr22_end,43016584
freq_snp1,0.2127
freq_snp2,0.2197
freq_S,0.0497
freq_K1,0.1630
freq_K2,0.1700
freq_O,0.6173
test1a_b_clade_min_p0.5,0.8147
test1a_r2_clade_min_p0.5,0.0572
test1a_b_mut_min_p0.5,0.8147
test1a_r2_mut_min_p0.5,0.0572
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[36471359]
test1a_b_clade_min_p0.8,0.9549
test1a_r2_clade_min_p0.8,0.0572
test1a_b_mut_min_p0.8,0.9549
test1a_r2_mut_min_p0.8,0.0572
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[36471359]
test1a_b_clade_min_p0.9,1.0282
test1a_r2_clade_min_p0.9,0.0572
test1a_b_mut_min_p0.9,1.0282
test1a_r2_mut_min_p0.9,0.0572
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[36471359]
test1a_b_clade_min_p0.95,1.0887
test1a_r2_clade_min_p0.95,0.0572
test1a_b_mut_min_p0.95,1.0887
test1a_r2_mut_min_p0.95,0.0572
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[36471359]
test1b_b_min,0.5012
test2_overall_min_b,0.5500
