Variable,Value
snp1,chr22:19742098
snp2,chr22:20201652
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.1373
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,19566439
searchrange_chr22_end,20369041
freq_snp1,0.2286
freq_snp2,0.1889
freq_S,0.0378
freq_K1,0.1909
freq_K2,0.1511
freq_O,0.6203
test1a_b_clade_min_p0.5,0.4756
test1a_r2_clade_min_p0.5,0.1528
test1a_b_mut_min_p0.5,0.6141
test1a_r2_mut_min_p0.5,0.1344
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[20133219]
test1a_b_clade_min_p0.8,0.5574
test1a_r2_clade_min_p0.8,0.1528
test1a_b_mut_min_p0.8,0.7197
test1a_r2_mut_min_p0.8,0.1344
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[20133219]
test1a_b_clade_min_p0.9,0.6002
test1a_r2_clade_min_p0.9,0.1528
test1a_b_mut_min_p0.9,0.7749
test1a_r2_mut_min_p0.9,0.1344
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[20133219]
test1a_b_clade_min_p0.95,0.6355
test1a_r2_clade_min_p0.95,0.1528
test1a_b_mut_min_p0.95,0.8205
test1a_r2_mut_min_p0.95,0.1344
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[20133219]
test1b_b_min,0.3155
test2_overall_min_b,0.5787
