Variable,Value
snp1,chr22:37772957
snp2,chr22:37864196
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.9430
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,37522702
searchrange_chr22_end,38709860
freq_snp1,0.0954
freq_snp2,0.0905
freq_S,0.0080
freq_K1,0.0875
freq_K2,0.0825
freq_O,0.8221
test1a_b_clade_min_p0.5,0.2753
test1a_r2_clade_min_p0.5,0.0003
test1a_b_mut_min_p0.5,0.2753
test1a_r2_mut_min_p0.5,0.0003
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[38169426, 37895556, 37952948, 38341013, 37927305]"
test1a_b_clade_min_p0.8,0.3226
test1a_r2_clade_min_p0.8,0.0003
test1a_b_mut_min_p0.8,0.3226
test1a_r2_mut_min_p0.8,0.0003
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[38169426, 37895556, 37952948, 38341013, 37927305]"
test1a_b_clade_min_p0.9,0.3474
test1a_r2_clade_min_p0.9,0.0003
test1a_b_mut_min_p0.9,0.3474
test1a_r2_mut_min_p0.9,0.0003
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[38169426, 37895556, 37952948, 38341013, 37927305]"
test1a_b_clade_min_p0.95,0.3678
test1a_r2_clade_min_p0.95,0.0003
test1a_b_mut_min_p0.95,0.3678
test1a_r2_mut_min_p0.95,0.0003
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[38169426, 37895556, 37952948, 38341013, 37927305]"
test1b_b_min,0.2280
test2_overall_min_b,0.8635
