Variable,Value
snp1,chr22:24015002
snp2,chr22:24465681
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.9102
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,23772470
searchrange_chr22_end,25334465
freq_snp1,0.2058
freq_snp2,0.1918
freq_S,0.0328
freq_K1,0.1730
freq_K2,0.1590
freq_O,0.6352
test1a_b_clade_min_p0.5,0.4757
test1a_r2_clade_min_p0.5,0.0010
test1a_b_mut_min_p0.5,0.4757
test1a_r2_mut_min_p0.5,0.0010
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[23956440, 23879043, 23907493]"
test1a_b_clade_min_p0.8,0.5576
test1a_r2_clade_min_p0.8,0.0010
test1a_b_mut_min_p0.8,0.5576
test1a_r2_mut_min_p0.8,0.0010
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[23956440, 23879043, 23907493]"
test1a_b_clade_min_p0.9,0.6004
test1a_r2_clade_min_p0.9,0.0010
test1a_b_mut_min_p0.9,0.6004
test1a_r2_mut_min_p0.9,0.0010
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[23956440, 23879043, 23907493]"
test1a_b_clade_min_p0.95,0.6357
test1a_r2_clade_min_p0.95,0.0010
test1a_b_mut_min_p0.95,0.6357
test1a_r2_mut_min_p0.95,0.0010
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[23956440, 23879043, 23907493]"
test1b_b_min,0.3908
test2_overall_min_b,0.6200
