Variable,Value
snp1,chr22:38478845
snp2,chr22:42980702
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,9.2515
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,37749907
searchrange_chr22_end,43681087
freq_snp1,0.0944
freq_snp2,0.0905
freq_S,0.0109
freq_K1,0.0835
freq_K2,0.0795
freq_O,0.8260
test1a_b_clade_min_p0.5,0.4093
test1a_r2_clade_min_p0.5,0.1802
test1a_b_mut_min_p0.5,0.4093
test1a_r2_mut_min_p0.5,0.1802
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[38354457, 38464465]"
test1a_b_clade_min_p0.8,0.4797
test1a_r2_clade_min_p0.8,0.1802
test1a_b_mut_min_p0.8,0.4797
test1a_r2_mut_min_p0.8,0.1802
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[38354457, 38464465]"
test1a_b_clade_min_p0.9,0.5165
test1a_r2_clade_min_p0.9,0.1802
test1a_b_mut_min_p0.9,0.5165
test1a_r2_mut_min_p0.9,0.1802
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[38354457, 38464465]"
test1a_b_clade_min_p0.95,0.5469
test1a_r2_clade_min_p0.95,0.1802
test1a_b_mut_min_p0.95,0.5469
test1a_r2_mut_min_p0.95,0.1802
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[38354457, 38464465]"
test1b_b_min,0.3648
test2_overall_min_b,0.7622
