Variable,Value
snp1,chr22:47311138
snp2,chr22:47771401
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.9699
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,46852155
searchrange_chr22_end,48270678
freq_snp1,0.1252
freq_snp2,0.1153
freq_S,0.0139
freq_K1,0.1113
freq_K2,0.1014
freq_O,0.7734
test1a_b_clade_min_p0.5,0.3766
test1a_r2_clade_min_p0.5,0.0102
test1a_b_mut_min_p0.5,0.3766
test1a_r2_mut_min_p0.5,0.0102
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[47681903]
test1a_b_clade_min_p0.8,0.4414
test1a_r2_clade_min_p0.8,0.0102
test1a_b_mut_min_p0.8,0.4414
test1a_r2_mut_min_p0.8,0.0102
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[47681903]
test1a_b_clade_min_p0.9,0.4753
test1a_r2_clade_min_p0.9,0.0102
test1a_b_mut_min_p0.9,0.4753
test1a_r2_mut_min_p0.9,0.0102
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[47681903]
test1a_b_clade_min_p0.95,0.5032
test1a_r2_clade_min_p0.95,0.0102
test1a_b_mut_min_p0.95,0.5032
test1a_r2_mut_min_p0.95,0.0102
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[47681903]
test1b_b_min,0.3140
test2_overall_min_b,0.7464
