Variable,Value
snp1,chr22:34375735
snp2,chr22:34468377
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,9.7956
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33843399
searchrange_chr22_end,35450362
freq_snp1,0.1083
freq_snp2,0.1004
freq_S,0.0030
freq_K1,0.1054
freq_K2,0.0974
freq_O,0.7942
test1a_b_clade_min_p0.5,0.1852
test1a_r2_clade_min_p0.5,0.0005
test1a_b_mut_min_p0.5,0.1946
test1a_r2_mut_min_p0.5,0.0002
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[34019726]
test1a_b_clade_min_p0.8,0.2171
test1a_r2_clade_min_p0.8,0.0005
test1a_b_mut_min_p0.8,0.2281
test1a_r2_mut_min_p0.8,0.0002
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[34019726]
test1a_b_clade_min_p0.9,0.2337
test1a_r2_clade_min_p0.9,0.0005
test1a_b_mut_min_p0.9,0.2456
test1a_r2_mut_min_p0.9,0.0002
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[34019726]
test1a_b_clade_min_p0.95,0.2475
test1a_r2_clade_min_p0.95,0.0005
test1a_b_mut_min_p0.95,0.2601
test1a_r2_mut_min_p0.95,0.0002
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[34019726]
test1b_b_min,0.1857
test2_overall_min_b,1.3572
