Variable,Value
snp1,chr22:45186603
snp2,chr22:45277203
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.5898
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,44997613
searchrange_chr22_end,45656106
freq_snp1,0.3231
freq_snp2,0.3469
freq_S,0.0905
freq_K1,0.2326
freq_K2,0.2565
freq_O,0.4205
test1a_b_clade_min_p0.5,0.4282
test1a_r2_clade_min_p0.5,0.0039
test1a_b_mut_min_p0.5,0.4282
test1a_r2_mut_min_p0.5,0.0039
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[45298278]
test1a_b_clade_min_p0.8,0.5019
test1a_r2_clade_min_p0.8,0.0039
test1a_b_mut_min_p0.8,0.5019
test1a_r2_mut_min_p0.8,0.0039
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[45298278]
test1a_b_clade_min_p0.9,0.5404
test1a_r2_clade_min_p0.9,0.0039
test1a_b_mut_min_p0.9,0.5404
test1a_r2_mut_min_p0.9,0.0039
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[45298278]
test1a_b_clade_min_p0.95,0.5722
test1a_r2_clade_min_p0.95,0.0039
test1a_b_mut_min_p0.95,0.5722
test1a_r2_mut_min_p0.95,0.0039
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[45298278]
test1b_b_min,0.3237
test2_overall_min_b,0.4594
