Variable,Value
snp1,chr22:31314408
snp2,chr22:35840395
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.7430
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,29623350
searchrange_chr22_end,36076609
freq_snp1,0.3141
freq_snp2,0.3290
freq_S,0.1123
freq_K1,0.2018
freq_K2,0.2167
freq_O,0.4692
test1a_b_clade_min_p0.5,1.0490
test1a_r2_clade_min_p0.5,0.0081
test1a_b_mut_min_p0.5,1.1918
test1a_r2_mut_min_p0.5,0.0092
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[33011205]
test1a_b_clade_min_p0.8,1.2295
test1a_r2_clade_min_p0.8,0.0081
test1a_b_mut_min_p0.8,1.3969
test1a_r2_mut_min_p0.8,0.0092
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[33011205]
test1a_b_clade_min_p0.9,1.3239
test1a_r2_clade_min_p0.9,0.0081
test1a_b_mut_min_p0.9,1.5041
test1a_r2_mut_min_p0.9,0.0092
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[33011205]
test1a_b_clade_min_p0.95,1.4018
test1a_r2_clade_min_p0.95,0.0081
test1a_b_mut_min_p0.95,1.5926
test1a_r2_mut_min_p0.95,0.0092
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[33011205]
test1b_b_min,0.1826
test2_overall_min_b,0.4561
