Variable,Value
snp1,chr22:40864577
snp2,chr22:45366022
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,8.4252
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,39760766
searchrange_chr22_end,45659878
freq_snp1,0.0775
freq_snp2,0.0974
freq_S,0.0089
freq_K1,0.0686
freq_K2,0.0885
freq_O,0.8340
test1a_b_clade_min_p0.5,0.2974
test1a_r2_clade_min_p0.5,0.0002
test1a_b_mut_min_p0.5,0.2974
test1a_r2_mut_min_p0.5,0.0002
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[44490130, 43690732, 44298863]"
test1a_b_clade_min_p0.8,0.3486
test1a_r2_clade_min_p0.8,0.0002
test1a_b_mut_min_p0.8,0.3486
test1a_r2_mut_min_p0.8,0.0002
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[44490130, 43690732, 44298863]"
test1a_b_clade_min_p0.9,0.3754
test1a_r2_clade_min_p0.9,0.0002
test1a_b_mut_min_p0.9,0.3754
test1a_r2_mut_min_p0.9,0.0002
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[44490130, 43690732, 44298863]"
test1a_b_clade_min_p0.95,0.3975
test1a_r2_clade_min_p0.95,0.0002
test1a_b_mut_min_p0.95,0.3975
test1a_r2_mut_min_p0.95,0.0002
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[44490130, 43690732, 44298863]"
test1b_b_min,0.2149
test2_overall_min_b,0.7995
