Variable,Value
snp1,chr22:19948506
snp2,chr22:20057383
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.6794
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,19634089
searchrange_chr22_end,20325682
freq_snp1,0.4940
freq_snp2,0.5258
freq_S,0.3062
freq_K1,0.1879
freq_K2,0.2197
freq_O,0.2863
test1a_b_clade_min_p0.5,0.5001
test1a_r2_clade_min_p0.5,0.0219
test1a_b_mut_min_p0.5,0.6054
test1a_r2_mut_min_p0.5,0.1681
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[19949809]
test1a_b_clade_min_p0.8,0.5862
test1a_r2_clade_min_p0.8,0.0219
test1a_b_mut_min_p0.8,0.7096
test1a_r2_mut_min_p0.8,0.1681
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[19949809]
test1a_b_clade_min_p0.9,0.6312
test1a_r2_clade_min_p0.9,0.0219
test1a_b_mut_min_p0.9,0.7641
test1a_r2_mut_min_p0.9,0.1681
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[19949809]
test1a_b_clade_min_p0.95,0.6683
test1a_r2_clade_min_p0.95,0.0219
test1a_b_mut_min_p0.95,0.8090
test1a_r2_mut_min_p0.95,0.1681
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[19949809]
test1b_b_min,0.1828
test2_overall_min_b,0.3795
