Variable,Value
snp1,chr22:27131446
snp2,chr22:27241432
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.4375
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,26676438
searchrange_chr22_end,27428041
freq_snp1,0.2147
freq_snp2,0.2187
freq_S,0.0487
freq_K1,0.1660
freq_K2,0.1700
freq_O,0.6153
test1a_b_clade_min_p0.5,0.5028
test1a_r2_clade_min_p0.5,0.0021
test1a_b_mut_min_p0.5,0.5905
test1a_r2_mut_min_p0.5,0.0021
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[26919601]
test1a_b_clade_min_p0.8,0.5893
test1a_r2_clade_min_p0.8,0.0021
test1a_b_mut_min_p0.8,0.6921
test1a_r2_mut_min_p0.8,0.0021
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[26919601]
test1a_b_clade_min_p0.9,0.6345
test1a_r2_clade_min_p0.9,0.0021
test1a_b_mut_min_p0.9,0.7452
test1a_r2_mut_min_p0.9,0.0021
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[26919601]
test1a_b_clade_min_p0.95,0.6719
test1a_r2_clade_min_p0.95,0.0021
test1a_b_mut_min_p0.95,0.7891
test1a_r2_mut_min_p0.95,0.0021
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[26919601]
test1b_b_min,0.2617
test2_overall_min_b,0.5594
