Variable,Value
snp1,chr22:34569878
snp2,chr22:35081776
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.6175
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33967490
searchrange_chr22_end,35844693
freq_snp1,0.5358
freq_snp2,0.5030
freq_S,0.2584
freq_K1,0.2773
freq_K2,0.2445
freq_O,0.2197
test1a_b_clade_min_p0.5,0.6879
test1a_r2_clade_min_p0.5,0.0212
test1a_b_mut_min_p0.5,0.7823
test1a_r2_mut_min_p0.5,0.0014
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[34520010]
test1a_b_clade_min_p0.8,0.8063
test1a_r2_clade_min_p0.8,0.0212
test1a_b_mut_min_p0.8,0.9168
test1a_r2_mut_min_p0.8,0.0014
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[34520010]
test1a_b_clade_min_p0.9,0.8681
test1a_r2_clade_min_p0.9,0.0212
test1a_b_mut_min_p0.9,0.9872
test1a_r2_mut_min_p0.9,0.0014
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[34520010]
test1a_b_clade_min_p0.95,0.9192
test1a_r2_clade_min_p0.95,0.0212
test1a_b_mut_min_p0.95,1.0453
test1a_r2_mut_min_p0.95,0.0014
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[34520010]
test1b_b_min,0.2427
test2_overall_min_b,0.3654
