Variable,Value
snp1,chr22:25305717
snp2,chr22:25403760
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.3338
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,24406648
searchrange_chr22_end,25691226
freq_snp1,0.4742
freq_snp2,0.5099
freq_S,0.2952
freq_K1,0.1789
freq_K2,0.2147
freq_O,0.3111
test1a_b_clade_min_p0.5,0.3818
test1a_r2_clade_min_p0.5,0.0794
test1a_b_mut_min_p0.5,0.4639
test1a_r2_mut_min_p0.5,0.1096
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[25395137]
test1a_b_clade_min_p0.8,0.4475
test1a_r2_clade_min_p0.8,0.0794
test1a_b_mut_min_p0.8,0.5437
test1a_r2_mut_min_p0.8,0.1096
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[25395137]
test1a_b_clade_min_p0.9,0.4818
test1a_r2_clade_min_p0.9,0.0794
test1a_b_mut_min_p0.9,0.5855
test1a_r2_mut_min_p0.9,0.1096
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[25395137]
test1a_b_clade_min_p0.95,0.5101
test1a_r2_clade_min_p0.95,0.0794
test1a_b_mut_min_p0.95,0.6199
test1a_r2_mut_min_p0.95,0.1096
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[25395137]
test1b_b_min,0.1126
test2_overall_min_b,0.3779
