Variable,Value
snp1,chr21:45230974
snp2,chr21:45198355
snp3,chr21:45201832
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,4.9282
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr21_start,44696258
searchrange_chr21_end,45971102
freq_snp1,0.7922
freq_snp2,0.6948
freq_S,0.5825
freq_K1,0.2097
freq_K2,0.1123
freq_O,0.0954
test1a_b_clade_min_p0.5,0.0749
test1a_r2_clade_min_p0.5,0.5248
test1a_b_mut_min_p0.5,0.0749
test1a_r2_mut_min_p0.5,0.5248
test1a_mut_chr_p0.5,21
test1a_mut_pos_p0.5,[45201832]
test1a_b_clade_min_p0.8,0.1071
test1a_r2_clade_min_p0.8,0.5248
test1a_b_mut_min_p0.8,0.1071
test1a_r2_mut_min_p0.8,0.5248
test1a_mut_chr_p0.8,21
test1a_mut_pos_p0.8,[45201832]
test1a_b_clade_min_p0.9,0.1239
test1a_r2_clade_min_p0.9,0.5248
test1a_b_mut_min_p0.9,0.1239
test1a_r2_mut_min_p0.9,0.5248
test1a_mut_chr_p0.9,21
test1a_mut_pos_p0.9,[45201832]
test1a_b_clade_min_p0.95,0.1378
test1a_r2_clade_min_p0.95,0.5248
test1a_b_mut_min_p0.95,0.1378
test1a_r2_mut_min_p0.95,0.5248
test1a_mut_chr_p0.95,21
test1a_mut_pos_p0.95,[45201832]
test1b_b_min,0.1135
test2_overall_min_b,0.1557
