Variable,Value
snp1,chr21:48063862
snp2,chr21:47776382
snp3,chr21:47887791
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,3.6522
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr21_start,46174495
searchrange_chr21_end,48069462
freq_snp1,0.1978
freq_snp2,0.2167
freq_S,0.0775
freq_K1,0.1203
freq_K2,0.1392
freq_O,0.6630
test1a_b_clade_min_p0.5,0.1285
test1a_r2_clade_min_p0.5,0.1072
test1a_b_mut_min_p0.5,0.1423
test1a_r2_mut_min_p0.5,0.2124
test1a_mut_chr_p0.5,21
test1a_mut_pos_p0.5,[48068809]
test1a_b_clade_min_p0.8,0.1837
test1a_r2_clade_min_p0.8,0.1072
test1a_b_mut_min_p0.8,0.2034
test1a_r2_mut_min_p0.8,0.2124
test1a_mut_chr_p0.8,21
test1a_mut_pos_p0.8,[48068809]
test1a_b_clade_min_p0.9,0.2126
test1a_r2_clade_min_p0.9,0.1072
test1a_b_mut_min_p0.9,0.2354
test1a_r2_mut_min_p0.9,0.2124
test1a_mut_chr_p0.9,21
test1a_mut_pos_p0.9,[48068809]
test1a_b_clade_min_p0.95,0.2364
test1a_r2_clade_min_p0.95,0.1072
test1a_b_mut_min_p0.95,0.2617
test1a_r2_mut_min_p0.95,0.2124
test1a_mut_chr_p0.95,21
test1a_mut_pos_p0.95,[48068809]
test1b_b_min,0.1110
test2_overall_min_b,0.1777
