Variable,Value
snp1,chr22:36192802
snp2,chr22:36237627
snp3,chr22:36392705
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,7.9767
interaction_effect_size,0.0957
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,35859786
searchrange_chr22_end,36860181
freq_snp1,0.2575
freq_snp2,0.2515
freq_S,0.0447
freq_K1,0.2127
freq_K2,0.2068
freq_O,0.5358
test1a_b_clade_min_p0.5,0.1858
test1a_r2_clade_min_p0.5,0.0124
test1a_b_mut_min_p0.5,0.1953
test1a_r2_mut_min_p0.5,0.0112
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[36185832, 36211560, 36203822]"
test1a_b_clade_min_p0.8,0.2181
test1a_r2_clade_min_p0.8,0.0124
test1a_b_mut_min_p0.8,0.2292
test1a_r2_mut_min_p0.8,0.0112
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[36185832, 36211560, 36203822]"
test1a_b_clade_min_p0.9,0.2349
test1a_r2_clade_min_p0.9,0.0124
test1a_b_mut_min_p0.9,0.2469
test1a_r2_mut_min_p0.9,0.0112
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[36185832, 36211560, 36203822]"
test1a_b_clade_min_p0.95,0.2489
test1a_r2_clade_min_p0.95,0.0124
test1a_b_mut_min_p0.95,0.2616
test1a_r2_mut_min_p0.95,0.0112
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[36185832, 36211560, 36203822]"
test1b_b_min,0.1200
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4428
