Variable,Value
snp1,chr22:34277099
snp2,chr22:34282975
snp3,chr22:34291747
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.3237
interaction_effect_size,0.0674
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,33750604
searchrange_chr22_end,35270918
freq_snp1,0.4742
freq_snp2,0.2803
freq_S,0.0706
freq_K1,0.4036
freq_K2,0.2097
freq_O,0.3161
test1a_b_clade_min_p0.5,0.2200
test1a_r2_clade_min_p0.5,0.0399
test1a_b_mut_min_p0.5,0.2588
test1a_r2_mut_min_p0.5,0.0455
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[34283852]
test1a_b_clade_min_p0.8,0.2582
test1a_r2_clade_min_p0.8,0.0399
test1a_b_mut_min_p0.8,0.3038
test1a_r2_mut_min_p0.8,0.0455
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[34283852]
test1a_b_clade_min_p0.9,0.2782
test1a_r2_clade_min_p0.9,0.0399
test1a_b_mut_min_p0.9,0.3273
test1a_r2_mut_min_p0.9,0.0455
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[34283852]
test1a_b_clade_min_p0.95,0.2947
test1a_r2_clade_min_p0.95,0.0399
test1a_b_mut_min_p0.95,0.3467
test1a_r2_mut_min_p0.95,0.0455
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[34283852]
test1b_b_min,0.0221
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4035
