Variable,Value
snp1,chr22:28196359
snp2,chr22:28205945
snp3,chr22:28215083
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.4905
interaction_effect_size,0.0753
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,27956335
searchrange_chr22_end,30592610
freq_snp1,0.1968
freq_snp2,0.5010
freq_S,0.0666
freq_K1,0.1302
freq_K2,0.4344
freq_O,0.3688
test1a_b_clade_min_p0.5,0.2467
test1a_r2_clade_min_p0.5,0.0325
test1a_b_mut_min_p0.5,0.2586
test1a_r2_mut_min_p0.5,0.0299
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[28198633]
test1a_b_clade_min_p0.8,0.2890
test1a_r2_clade_min_p0.8,0.0325
test1a_b_mut_min_p0.8,0.3029
test1a_r2_mut_min_p0.8,0.0299
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[28198633]
test1a_b_clade_min_p0.9,0.3110
test1a_r2_clade_min_p0.9,0.0325
test1a_b_mut_min_p0.9,0.3260
test1a_r2_mut_min_p0.9,0.0299
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[28198633]
test1a_b_clade_min_p0.95,0.3293
test1a_r2_clade_min_p0.95,0.0325
test1a_b_mut_min_p0.95,0.3451
test1a_r2_mut_min_p0.95,0.0299
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[28198633]
test1b_b_min,0.0287
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4751
