Variable,Value
snp1,chr22:44734541
snp2,chr22:44756299
snp3,chr22:44761711
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1555
interaction_effect_size,0.0662
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,44523396
searchrange_chr22_end,45044510
freq_snp1,0.0348
freq_snp2,0.2972
freq_S,0.0070
freq_K1,0.0278
freq_K2,0.2903
freq_O,0.6750
test1a_b_clade_min_p0.5,0.1942
test1a_r2_clade_min_p0.5,0.8563
test1a_b_mut_min_p0.5,0.2750
test1a_r2_mut_min_p0.5,0.4269
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[44762735]
test1a_b_clade_min_p0.8,0.2266
test1a_r2_clade_min_p0.8,0.8563
test1a_b_mut_min_p0.8,0.3209
test1a_r2_mut_min_p0.8,0.4269
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[44762735]
test1a_b_clade_min_p0.9,0.2435
test1a_r2_clade_min_p0.9,0.8563
test1a_b_mut_min_p0.9,0.3449
test1a_r2_mut_min_p0.9,0.4269
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[44762735]
test1a_b_clade_min_p0.95,0.2575
test1a_r2_clade_min_p0.95,0.8563
test1a_b_mut_min_p0.95,0.3647
test1a_r2_mut_min_p0.95,0.4269
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[44762735]
test1b_b_min,0.0043
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,1.0486
