Variable,Value
snp1,chr22:39625571
snp2,chr22:39639427
snp3,chr22:39605440
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.2052
interaction_effect_size,0.0770
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,39231178
searchrange_chr22_end,40349043
freq_snp1,0.2356
freq_snp2,0.0835
freq_S,0.0408
freq_K1,0.1948
freq_K2,0.0427
freq_O,0.7217
test1a_b_clade_min_p0.5,0.2374
test1a_r2_clade_min_p0.5,0.0076
test1a_b_mut_min_p0.5,0.2657
test1a_r2_mut_min_p0.5,0.0000
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[39619752, 39620355]"
test1a_b_clade_min_p0.8,0.2779
test1a_r2_clade_min_p0.8,0.0076
test1a_b_mut_min_p0.8,0.3110
test1a_r2_mut_min_p0.8,0.0000
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[39619752, 39620355]"
test1a_b_clade_min_p0.9,0.2990
test1a_r2_clade_min_p0.9,0.0076
test1a_b_mut_min_p0.9,0.3347
test1a_r2_mut_min_p0.9,0.0000
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[39619752, 39620355]"
test1a_b_clade_min_p0.95,0.3165
test1a_r2_clade_min_p0.95,0.0076
test1a_b_mut_min_p0.95,0.3542
test1a_r2_mut_min_p0.95,0.0000
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[39619752, 39620355]"
test1b_b_min,0.0128
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5676
