Variable,Value
snp1,chr8:144663661
snp2,chr8:144613680
snp3,chr8:144684215
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,4.5195
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr8_start,144004251
searchrange_chr8_end,146237828
freq_snp1,0.6173
freq_snp2,0.3529
freq_S,0.1680
freq_K1,0.4493
freq_K2,0.1849
freq_O,0.1978
test1a_b_clade_min_p0.5,0.0937
test1a_r2_clade_min_p0.5,0.0702
test1a_b_mut_min_p0.5,0.1060
test1a_r2_mut_min_p0.5,0.0453
test1a_mut_chr_p0.5,8
test1a_mut_pos_p0.5,"[144608018, 144623574, 144629863, 144606172, 144625677]"
test1a_b_clade_min_p0.8,0.1340
test1a_r2_clade_min_p0.8,0.0702
test1a_b_mut_min_p0.8,0.1515
test1a_r2_mut_min_p0.8,0.0453
test1a_mut_chr_p0.8,8
test1a_mut_pos_p0.8,"[144608018, 144623574, 144629863, 144606172, 144625677]"
test1a_b_clade_min_p0.9,0.1550
test1a_r2_clade_min_p0.9,0.0702
test1a_b_mut_min_p0.9,0.1753
test1a_r2_mut_min_p0.9,0.0453
test1a_mut_chr_p0.9,8
test1a_mut_pos_p0.9,"[144608018, 144623574, 144629863, 144606172, 144625677]"
test1a_b_clade_min_p0.95,0.1724
test1a_r2_clade_min_p0.95,0.0702
test1a_b_mut_min_p0.95,0.1949
test1a_r2_mut_min_p0.95,0.0453
test1a_mut_chr_p0.95,8
test1a_mut_pos_p0.95,"[144608018, 144623574, 144629863, 144606172, 144625677]"
test1b_b_min,0.1224
test2_overall_min_b,0.1422
