Variable,Value
snp1,chr22:33516856
snp2,chr22:33601482
snp3,chr22:33644997
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1406
interaction_effect_size,0.0754
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,32951972
searchrange_chr22_end,34047197
freq_snp1,0.2873
freq_snp2,0.4264
freq_S,0.1223
freq_K1,0.1650
freq_K2,0.3042
freq_O,0.4085
test1a_b_clade_min_p0.5,0.3191
test1a_r2_clade_min_p0.5,0.1315
test1a_b_mut_min_p0.5,0.3344
test1a_r2_mut_min_p0.5,0.0407
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[33630028, 33629935]"
test1a_b_clade_min_p0.8,0.3734
test1a_r2_clade_min_p0.8,0.1315
test1a_b_mut_min_p0.8,0.3912
test1a_r2_mut_min_p0.8,0.0407
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[33630028, 33629935]"
test1a_b_clade_min_p0.9,0.4017
test1a_r2_clade_min_p0.9,0.1315
test1a_b_mut_min_p0.9,0.4209
test1a_r2_mut_min_p0.9,0.0407
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[33630028, 33629935]"
test1a_b_clade_min_p0.95,0.4251
test1a_r2_clade_min_p0.95,0.1315
test1a_b_mut_min_p0.95,0.4454
test1a_r2_mut_min_p0.95,0.0407
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[33630028, 33629935]"
test1b_b_min,0.0120
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3790
