Variable,Value
snp1,chr22:49862368
snp2,chr22:49879661
snp3,chr22:49863542
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.5429
interaction_effect_size,0.0919
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,49751540
searchrange_chr22_end,50456521
freq_snp1,0.3151
freq_snp2,0.5000
freq_S,0.1680
freq_K1,0.1471
freq_K2,0.3320
freq_O,0.3529
test1a_b_clade_min_p0.5,0.1987
test1a_r2_clade_min_p0.5,0.1968
test1a_b_mut_min_p0.5,0.2601
test1a_r2_mut_min_p0.5,0.1737
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[49861327]
test1a_b_clade_min_p0.8,0.2318
test1a_r2_clade_min_p0.8,0.1968
test1a_b_mut_min_p0.8,0.3034
test1a_r2_mut_min_p0.8,0.1737
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[49861327]
test1a_b_clade_min_p0.9,0.2491
test1a_r2_clade_min_p0.9,0.1968
test1a_b_mut_min_p0.9,0.3261
test1a_r2_mut_min_p0.9,0.1737
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[49861327]
test1a_b_clade_min_p0.95,0.2634
test1a_r2_clade_min_p0.95,0.1968
test1a_b_mut_min_p0.95,0.3448
test1a_r2_mut_min_p0.95,0.1737
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[49861327]
test1b_b_min,0.0192
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3456
