Variable,Value
snp1,chr22:28927164
snp2,chr22:29132377
snp3,chr22:29001406
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.0435
interaction_effect_size,0.0728
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,28001411
searchrange_chr22_end,30843934
freq_snp1,0.4503
freq_snp2,0.4195
freq_S,0.1501
freq_K1,0.3002
freq_K2,0.2694
freq_O,0.2803
test1a_b_clade_min_p0.5,0.2386
test1a_r2_clade_min_p0.5,0.0164
test1a_b_mut_min_p0.5,0.2386
test1a_r2_mut_min_p0.5,0.0164
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[29264312, 29277379, 29260031]"
test1a_b_clade_min_p0.8,0.2809
test1a_r2_clade_min_p0.8,0.0164
test1a_b_mut_min_p0.8,0.2809
test1a_r2_mut_min_p0.8,0.0164
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[29264312, 29277379, 29260031]"
test1a_b_clade_min_p0.9,0.3029
test1a_r2_clade_min_p0.9,0.0164
test1a_b_mut_min_p0.9,0.3029
test1a_r2_mut_min_p0.9,0.0164
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[29264312, 29277379, 29260031]"
test1a_b_clade_min_p0.95,0.3212
test1a_r2_clade_min_p0.95,0.0164
test1a_b_mut_min_p0.95,0.3212
test1a_r2_mut_min_p0.95,0.0164
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[29264312, 29277379, 29260031]"
test1b_b_min,0.0147
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3355
