Variable,Value
snp1,chr22:33138006
snp2,chr22:33245130
snp3,chr22:33300183
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,4.9883
interaction_effect_size,0.0627
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,32828953
searchrange_chr22_end,33754902
freq_snp1,0.0845
freq_snp2,0.2505
freq_S,0.0308
freq_K1,0.0537
freq_K2,0.2197
freq_O,0.6958
test1a_b_clade_min_p0.5,0.3143
test1a_r2_clade_min_p0.5,0.0000
test1a_b_mut_min_p0.5,0.4630
test1a_r2_mut_min_p0.5,0.0054
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[33247835]
test1a_b_clade_min_p0.8,0.3683
test1a_r2_clade_min_p0.8,0.0000
test1a_b_mut_min_p0.8,0.5424
test1a_r2_mut_min_p0.8,0.0054
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[33247835]
test1a_b_clade_min_p0.9,0.3964
test1a_r2_clade_min_p0.9,0.0000
test1a_b_mut_min_p0.9,0.5839
test1a_r2_mut_min_p0.9,0.0054
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[33247835]
test1a_b_clade_min_p0.95,0.4197
test1a_r2_clade_min_p0.95,0.0000
test1a_b_mut_min_p0.95,0.6182
test1a_r2_mut_min_p0.95,0.0054
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[33247835]
test1b_b_min,0.0052
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.6057
