Variable,Value
snp1,chr22:28974548
snp2,chr22:29094849
snp3,chr22:29017629
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.2285
interaction_effect_size,0.0955
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,28001623
searchrange_chr22_end,30836584
freq_snp1,0.1849
freq_snp2,0.3270
freq_S,0.1034
freq_K1,0.0815
freq_K2,0.2237
freq_O,0.5915
test1a_b_clade_min_p0.5,0.2180
test1a_r2_clade_min_p0.5,0.1285
test1a_b_mut_min_p0.5,0.2180
test1a_r2_mut_min_p0.5,0.1285
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[28967783, 28924201, 28968272, 28939089, 28897394, 29023927, 28886008, 28919001, 28937467]"
test1a_b_clade_min_p0.8,0.2565
test1a_r2_clade_min_p0.8,0.1285
test1a_b_mut_min_p0.8,0.2565
test1a_r2_mut_min_p0.8,0.1285
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[28967783, 28924201, 28968272, 28939089, 28897394, 29023927, 28886008, 28919001, 28937467]"
test1a_b_clade_min_p0.9,0.2766
test1a_r2_clade_min_p0.9,0.1285
test1a_b_mut_min_p0.9,0.2766
test1a_r2_mut_min_p0.9,0.1285
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[28967783, 28924201, 28968272, 28939089, 28897394, 29023927, 28886008, 28919001, 28937467]"
test1a_b_clade_min_p0.95,0.2932
test1a_r2_clade_min_p0.95,0.1285
test1a_b_mut_min_p0.95,0.2932
test1a_r2_mut_min_p0.95,0.1285
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[28967783, 28924201, 28968272, 28939089, 28897394, 29023927, 28886008, 28919001, 28937467]"
test1b_b_min,0.0670
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4009
